from_address,no_day_active,total_tx,avg_hour_act_per_day,avg_hour_freq
0xfa9e38caa49d8524a9e7a5cf972bdde295b26fc0,1,7,4.0,1.0
0x6777c4a1d74cb244e9b5dcdccec04723e938c317,8,216,11.0,1.875
0x85a955a4e738eb171bea1fbbc49f2b47d5464c8e,1,1,1.0,1.0
0x47ccb31dc06a7412d8c66b59bdd67bb89c80a667,6,10,1.6666666666666667,1.0
0x24bacee5ba8dc1a0f6f719884044363dbabb30b7,9,4803,24.0,21.666666666666668
0x7f46867e7063856aec871befa017d9237853eea3,7,30,3.142857142857143,1.0
0x8dae753c60d066668ed0f8c4d904c944a6b0575e,1,2,1.0,2.0
0x99b5637633352baddbb6cee9b7d65e84935623dc,2,39,8.5,2.0
0x0f77678d80f1b628147f9d07f42e67c4c1d6aa23,6,245,7.833333333333333,4.333333333333333
0x380bcf92513c2887f6d293fc97a70ad977205bc5,6,41,3.8333333333333335,1.3333333333333333
0xf5d1343b5e91cc8bfba5937c0bc96ad728793b5c,2,22,4.5,1.5
0x6f61ef343a11f115fba48739c4bbea80498dd0ea,1,1,1.0,1.0
0x18008a3d4de136e090d0a71cb1de601fc8246225,9,3051,19.0,14.0
0x18214e5691a116995a5b6f6a8a4029bc7574c47a,7,23,2.5714285714285716,1.1428571428571428
0x42c8c9df9b563ed81589c31b93938ca51d9c7ed6,8,35,3.0,1.25
0x269cffdd11ab850237cdf08a0c8f6931c9145dc2,8,66,4.75,1.25
0xf5fa9ab64e62736a3ae9f6068eac3b7e0a9e62da,7,34,3.2857142857142856,1.1428571428571428
0xbadec964f2890c12e0cb17182f680cde034f2590,8,60,3.5,2.0
0xa1d9e2df30a3406871da1587e9f390d37673bcbd,1,1,1.0,1.0
0xd1757d7c8f42cd3185e41e9361a0bb38c0fcbcea,6,40,3.8333333333333335,1.5
0x5a7ee6c4c92567425a8e9b5a4e32d8074ef15c02,7,26,2.2857142857142856,1.5714285714285714
0xd5b3137c3fbe9506f55f9f4e8acfa742ef1afd71,8,118,5.25,1.875
0xc33695e93f6cfd8102d33101b1e0a5ec921d6e26,1,13,2.0,6.0
0xdb5b02b58850f916428520f16d0c1eef6f24c29f,4,9,2.0,1.0
0x04a80b36ef99a27e334198894eac9dc7861f95d8,2,4,1.0,2.0
0xd0d3c62befcdb84c01be1c209f15a8bf571900ce,9,2434,22.88888888888889,11.222222222222221
0x0bca6d732eaf4e9ae6b9ac53349c6c85087d9d15,9,894,21.444444444444443,4.111111111111111
0x875b1a5595a11e8ac42010c378779a6715519f6c,6,192,12.666666666666666,2.1666666666666665
0xb56d5d233bbe2966333cb183d1fd59b8e08822d8,1,10,5.0,2.0
0xcefd3bc7c466dd06eb1c2af3573b062aa5109c10,3,3,1.0,1.0
0xa315341026eb70e9295b366720b0723ad0be1450,1,3,3.0,1.0
0x30541907f9e64e9736b25f511bceb90072e00481,2,4,1.0,2.0
0xadcf328aae6a8e32e532496dd7e4cc45456cc00d,9,482,17.666666666666668,2.5555555555555554
0xf47be60b97dbf781fdbab3df8c04bf008a06e37f,9,136,4.777777777777778,2.6666666666666665
0xe68878cde158256fd18daeb492cb1b1e37ea8691,4,21,3.0,1.5
0xf909a76fddd95ce03ece8d3a11c5486b63d6847b,4,287,13.25,4.0
0x5b0d9f865194e5e29bf17f8b538ed72dcc6bbfff,1,2,1.0,2.0
0x0276101b808e92ae76db5fc8275d36f1af97eb6d,9,126,8.0,1.4444444444444444
0xe6b662f933bd95f8953df84af81fed8d9b05fe65,2,11,4.0,1.0
0x383e79486d3ecdcddc85ce59c4aac7f1a6637ae8,8,33,2.625,1.125
0x725c1ba8ab12211aa4508382d7dc095c3e19ef7b,1,3,1.0,3.0
0x695c2adf3c996e862a0f047b6e9379fa05004a51,4,279,16.0,4.0
0x86021a4011f7dd8b9853e2ecd2f3156de68774e4,1,2,1.0,2.0
0x7384f2558dd5a6fc2301cd66266ca4d9a34be54d,1,2,2.0,1.0
0x5fef5c5a1549c10ea9b911e60db0b834c5df4bbb,7,16,1.2857142857142858,1.8571428571428572
0xccc8decf85816b1ee28b2c46045b3d87bcb0c27b,1,1,1.0,1.0
0x8094c9563a434ec25c9e1450b5f117127a35029b,7,23,1.8571428571428572,1.4285714285714286
0x209f2959f5acef6c7502e783a0e1c7e7a9d304c2,2,3,1.5,1.0
0xd12bcdfb9a39be79da3bdf02557efdcd5ca59e77,4,2285,21.75,25.25
0x0fd6d652b6d4cd35df18332f9490edfcfd4274f2,2,15,5.5,1.0
0xa2ffadd70ecaeb7d918c34910e9fd8a3b66b4c51,4,216,7.75,5.75
0x5e3a89ee443cef07f5f346c17183dfd627e4f7cf,1,3,2.0,1.0
0x65b09b12bf46f364f68f5bff0bfc5d8b54368971,9,1545,22.444444444444443,7.333333333333333
0x7228cc6599676dbf447430833773a9233aa95c88,5,522,18.6,5.0
0xa4399d9e52135ba39ac219ec3c328f90af270ef4,9,28,2.0,1.4444444444444444
0x9a82b350a6a7e3342cc3095751ca98c8a903fb4f,9,845,16.333333333333332,4.555555555555555
0xa153e789d45fc5be2986917a33e298437f52899c,6,23,2.8333333333333335,1.3333333333333333
0xe9589382130ded5df2397e2fd7a3e9b41dd2701d,2,9,3.0,1.0
0xe373df144a70bccc10190f97bede647d1ed6cfc8,9,264,13.333333333333334,1.6666666666666667
0x820ef56b0817edf37353bd5e8bed25f35b310cb3,8,28,2.25,1.25
0x96eb8a5e6c79482cef2361a1a55af6d850e8d88d,6,23,2.8333333333333335,1.1666666666666667
0xb6665ba83e054a91db1e6fc2252b4346a12c60d7,9,162,9.0,2.0
0xd3a69bfac779ae0d97ae7c4f1bb77d2be6c2b943,9,921,16.22222222222222,5.888888888888889
0x0000000000085a12481aedb59eb3200332aca597,6,1855,21.333333333333332,13.5
0xbeb6e0ae5616559663ddc202e6ba00dfdedc098c,8,27,2.375,1.125
0xb31d1b1ea48ce4bf10ed697d44b747287e785ad4,9,290,15.555555555555555,1.6666666666666667
0x8f3117aed4286b9035e4d9d43e46f101d95dcf3d,1,2,1.0,2.0
0xb757c05e415ed00c923da9908987eaad9c279135,7,19,1.7142857142857142,1.4285714285714286
0x70831901d9d000515491231fb43be1bc0e549ee0,7,46,3.857142857142857,1.4285714285714286
0xa66aad33345436e01d3fe9584321bc17b0db6b97,2,3,1.5,1.0
0x6a9c54652b8d8230ae6ea39c30ea328c7297a7b4,1,1,1.0,1.0
0x5205c6ae35e5fcef0788d269dc97b12d39e689bd,3,6,1.3333333333333333,1.3333333333333333
0x00e9f6ed302e2bb73c1daa6cc8bd46cbc7e07d03,7,440,16.142857142857142,3.2857142857142856
0x2c0ad3aac60028d52904a454b20833c12436f82a,5,56,7.0,1.2
0x4f11ddb402d2087d40348ebd04345049252100b7,1,18,4.0,4.0
0xe0279bb70978309cfc050605e1f93ec1ceb9254c,2,36,6.0,2.5
0x176d38c73ed7d47190362b4439c423ba0053686a,1,3,1.0,3.0
