_id,address,addressname,transactioncount,internaltxcount,addresstype
637605d52ae825a9f8877590,0x1a92d5a736d3a8b6d8f6153ba9eb556bae10417a,CN:Jump Crypto-Everstake2,18,48,Contract
637605d52ae825a9f88775a9,0x4cde9d49724c3cb88775a1956516c0ef0be546dd,Klaymore Deployer,5997,5829,External Owned Account
637605d52ae825a9f88775af,0x5ee78209ee1c9b3d332087f76fc6ab2eb71bb240,Reward: KrossLab3,3,5482,Contract
637605d52ae825a9f88775b2,0x72f5d41743a4f6838321f1a37be6859ffa61fb2d,CN:SK Networks,43,68,Contract
637605d52ae825a9f88775b3,0x75239993ac422a4e6a7441d5ab47ed6e91faf306,Reward: Kakao Corp,17,2,External Owned Account
637605d52ae825a9f88775b4,0x758476368db33864b704f41cc63b8460f8e7d39a,Reward: Hashkey,2528,1498,External Owned Account
637605d52ae825a9f88775b6,0x771e24c2daef1c0cb67ce392a4cd3f25d4cf8398,KlayFi Deployer,11895,3093,External Owned Account
637605d62ae825a9f88775b7,0x7880fe25dd0669fffbd82cf6e78c16d69af82a11,GC:Hashkey 2,2,0,External Owned Account
637605d62ae825a9f88775b8,0x79bf6868cb4f7d3dd43d915690f3556669afcf4e,KLAY Genesis 3,1,1,External Owned Account
637605d62ae825a9f88775bd,0x8577ecec279fcab4b47e43d650a176f55a96e7ab,Klip FeePayer,17,0,External Owned Account
637605d72ae825a9f88775dd,0xd9fc5fa552f2d17eb541c07a68095125b15afe7f,Korbit 1,48586,4805,External Owned Account
637605d72ae825a9f88775e4,0xe4f05a66ec68b54a58b17c22107b02e0232cc817,WKLAY 2,5951,10719559,Contract
637605d92ae825a9f8877607,0x39b0f6d8a51aed4ef94cf26598404eedf4c1990e,CN:Ahnlab 2,156,169,Contract
637605da2ae825a9f8877633,0xb04942bce102f21a226f269044f62a31bfc99671,GC:Neoply 2,2,0,External Owned Account
637605da2ae825a9f8877639,0xc0094bf2fb2fad63261afa39a75b3883d91a4c57,GC:Korea Economic Daily 2,2,0,External Owned Account
637605da2ae825a9f887763a,0xc1c7c405145e5d7c84924896daf790ce534a7021,Reward: KrossLab2,30,667,External Owned Account
637605da2ae825a9f887763b,0xc39e93cfe231b1269c57fc8cf577700f7d08c357,CN:LG Electronics,35,58,Contract
637605dc2ae825a9f8877642,0xcd3a382fe4da71d70f5664d99a97cd55d9b317c5,Reward: Korea Economic Daily 2,35,162274,External Owned Account
637605dc2ae825a9f8877644,0xd11dfc2ab34abd3e1abfba80b99aefbd6255c4b8,Multicall2,1,2,Contract
637605dc2ae825a9f8877645,0xd6d7762dd7fadf0512d83d0143685fc85488b64e,GC:Kracker Labs,2,0,Consensus Node
637605dc2ae825a9f8877646,0xd9147a04bba6ed9e77a46635a071c0a2dc67e01f,CN:Netmable 1,21,39,Contract
637605dc2ae825a9f8877647,0xda664b81c13b050f9b0435d0b712218aa8bb1609,CN:Neoply 1,153,208,Contract
637605de2ae825a9f887766c,0x1cdf71aa15f58ce0ae0034302479ef465983f5ba,CN:Wemade 2,80,111,Contract
637605de2ae825a9f8877674,0x36ff2aa21d5c6828ee12cd2bc3de0e987bc0d4e7,GC:Sygnum,3,0,Consensus Node
637605de2ae825a9f8877682,0x5e882a3f5de7991a3463f84b5d229395e64cb3b7,Bithumb 5,293,269,External Owned Account
637605df2ae825a9f887768f,0x84d34f4f83a87596cd3fb6887cff8f17bf5a7b83, Alameda Research 25,0,0,External Owned Account
637605df2ae825a9f8877691,0x9419fa2e3b9eb1158de31be66c586a52f49c5de7,GC:Gumi,2,0,Consensus Node
637605df2ae825a9f8877692,0x9bb0bf13103dfd75877979c5224173562e4ff552,Orbit Bridge Orbit Minter,1590,16424,Contract
